dynamodb,arn:aws:sns:us-west-2:180477243137:dynamodb
email-events-topic-dev,arn:aws:sns:us-west-2:180477243137:email-events-topic-dev
email-events-topic-prod,arn:aws:sns:us-west-2:180477243137:email-events-topic-prod
endpointtopic,arn:aws:sns:us-west-2:180477243137:endpointtopic
entity-document-uploaded-dev,arn:aws:sns:us-west-2:180477243137:entity-document-uploaded-dev
entity-document-uploaded-prod,arn:aws:sns:us-west-2:180477243137:entity-document-uploaded-prod
entity-required-documents-completed-dev,arn:aws:sns:us-west-2:180477243137:entity-required-documents-completed-dev
entity-required-documents-completed-prod,arn:aws:sns:us-west-2:180477243137:entity-required-documents-completed-prod
expire-offers-topic-dev,arn:aws:sns:us-west-2:180477243137:expire-offers-topic-dev
expire-offers-topic-prod,arn:aws:sns:us-west-2:180477243137:expire-offers-topic-prod
facebook-web-hook,arn:aws:sns:us-west-2:180477243137:facebook-web-hook
facebook-web-hook-dev,arn:aws:sns:us-west-2:180477243137:facebook-web-hook-dev
funds-out-create-account-clabe-topic-dev,arn:aws:sns:us-west-2:180477243137:funds-out-create-account-clabe-topic-dev
funds-out-create-account-clabe-topic-prod,arn:aws:sns:us-west-2:180477243137:funds-out-create-account-clabe-topic-prod
funnel,arn:aws:sns:us-west-2:180477243137:funnel
getBanortePayments,arn:aws:sns:us-west-2:180477243137:getBanortePayments
growth-invoices-report-lambda-function-topic-dev,arn:aws:sns:us-west-2:180477243137:growth-invoices-report-lambda-function-topic-dev
growth-invoices-report-lambda-function-topic-prod,arn:aws:sns:us-west-2:180477243137:growth-invoices-report-lambda-function-topic-prod
growth_application_funnel,arn:aws:sns:us-west-2:180477243137:growth_application_funnel
growth_forms_notifications_dev,arn:aws:sns:us-west-2:180477243137:growth_forms_notifications_dev
growth_forms_notifications_prod,arn:aws:sns:us-west-2:180477243137:growth_forms_notifications_prod
insurance,arn:aws:sns:us-west-2:180477243137:insurance
invoice-cluster-segmentation-pm-topic-dev,arn:aws:sns:us-west-2:180477243137:invoice-cluster-segmentation-pm-topic-dev
invoice-cluster-segmentation-pm-topic-prod,arn:aws:sns:us-west-2:180477243137:invoice-cluster-segmentation-pm-topic-prod
invoicing-cluster-segmentation-pfae-topic-dev,arn:aws:sns:us-west-2:180477243137:invoicing-cluster-segmentation-pfae-topic-dev
invoicing-cluster-segmentation-pfae-topic-prod,arn:aws:sns:us-west-2:180477243137:invoicing-cluster-segmentation-pfae-topic-prod
kbs-lambda-mvp-topic-dev,arn:aws:sns:us-west-2:180477243137:kbs-lambda-mvp-topic-dev
kbs-lambda-mvp-topic-prod,arn:aws:sns:us-west-2:180477243137:kbs-lambda-mvp-topic-prod
konfio-pay-credit-features-topic-dev,arn:aws:sns:us-west-2:180477243137:konfio-pay-credit-features-topic-dev
